TIMESTAMP,ACTUAL_DELIVERY_MINUTES - ESTIMATED_DELIVERY_MINUTES,ITEM_COUNT,USER_LAT,USER_LONG,VENUE_LAT,VENUE_LONG,ESTIMATED_DELIVERY_MINUTES,ACTUAL_DELIVERY_MINUTES,CLOUD_COVERAGE,TEMPERATURE,WIND_SPEED,PRECIPITATION
2020-08-01 06:07:00.000,-19,1,60.158,24.946,60.16,24.946,29,10,0,15,3.53644,0
2020-08-01 06:17:00.000,-7,8,60.163,24.927,60.153,24.91,39,32,0,15,3.53644,0
2020-08-01 06:54:00.000,-17,4,60.161,24.937,60.162,24.939,23,6,0,15,3.53644,0
2020-08-01 07:09:00.000,-2,3,60.185,24.954,60.19,24.911,28,26,0,16.7,3.52267,0
2020-08-01 07:10:00.000,-1,2,60.182,24.955,60.178,24.949,27,26,0,16.7,3.52267,0
2020-08-01 07:20:00.000,-3,2,60.173,24.953,60.178,24.949,18,15,0,16.7,3.52267,0
2020-08-01 07:33:00.000,11,2,60.188,24.956,60.178,24.949,24,35,0,16.7,3.52267,0
2020-08-01 07:44:00.000,1,2,60.199,24.957,60.198,24.932,31,32,0,16.7,3.52267,0
2020-08-01 07:59:00.000,0,1,60.182,24.955,60.178,24.949,24,24,0,16.7,3.52267,0
2020-08-01 08:06:00.000,6,4,60.189,24.964,60.165,24.929,36,42,25,17.8,3.35088,0
2020-08-01 08:10:00.000,4,1,60.154,24.949,60.168,24.938,37,41,25,17.8,3.35088,0
2020-08-01 08:10:00.000,-6,3,60.196,24.922,60.198,24.929,32,26,25,17.8,3.35088,0
2020-08-01 08:12:00.000,-11,3,60.178,24.924,60.168,24.93,27,16,25,17.8,3.35088,0
2020-08-01 08:20:00.000,10,7,60.186,24.922,60.178,24.925,25,35,25,17.8,3.35088,0
2020-08-01 08:20:00.000,0,2,60.183,24.923,60.18,24.927,27,27,25,17.8,3.35088,0
2020-08-01 08:24:00.000,-7,3,60.177,24.928,60.168,24.939,35,28,25,17.8,3.35088,0
2020-08-01 08:25:00.000,-3,1,60.183,24.963,60.194,24.956,23,20,25,17.8,3.35088,0
2020-08-01 08:26:00.000,0,6,60.162,24.937,60.16,24.946,22,22,25,17.8,3.35088,0
2020-08-01 08:33:00.000,6,9,60.159,24.939,60.169,24.938,31,37,25,17.8,3.35088,0
2020-08-01 08:33:00.000,-1,3,60.186,24.918,60.189,24.917,20,19,25,17.8,3.35088,0
2020-08-01 08:39:00.000,-4,3,60.189,24.914,60.19,24.911,26,22,25,17.8,3.35088,0
2020-08-01 08:40:00.000,14,2,60.187,24.959,60.178,24.949,28,42,25,17.8,3.35088,0
2020-08-01 08:42:00.000,-4,4,60.181,24.954,60.178,24.949,26,22,25,17.8,3.35088,0
2020-08-01 08:58:00.000,-7,4,60.168,24.934,60.169,24.933,32,25,25,17.8,3.35088,0
2020-08-01 09:04:00.000,1,1,60.173,24.922,60.19,24.911,31,32,0,17.8,3.29756,0
2020-08-01 09:06:00.000,1,1,60.159,24.913,60.163,24.929,25,26,0,17.8,3.29756,0
2020-08-01 09:08:00.000,-1,1,60.189,24.963,60.194,24.95,30,29,0,17.8,3.29756,0
2020-08-01 09:09:00.000,-2,4,60.183,24.919,60.173,24.923,34,32,0,17.8,3.29756,0
2020-08-01 09:09:00.000,10,1,60.171,24.955,60.185,24.953,23,33,0,17.8,3.29756,0
2020-08-01 09:11:00.000,-4,1,60.165,24.928,60.168,24.938,28,24,0,17.8,3.29756,0
2020-08-01 09:14:00.000,-1,1,60.183,24.962,60.195,24.951,28,27,0,17.8,3.29756,0
2020-08-01 09:15:00.000,9,1,60.185,24.916,60.171,24.919,30,39,0,17.8,3.29756,0
2020-08-01 09:17:00.000,0,1,60.184,24.954,60.187,24.977,32,32,0,17.8,3.29756,0
2020-08-01 09:19:00.000,2,1,60.176,24.923,60.168,24.938,28,30,0,17.8,3.29756,0
2020-08-01 09:21:00.000,10,5,60.168,24.964,60.168,24.976,32,42,0,17.8,3.29756,0
2020-08-01 09:22:00.000,-1,1,60.16,24.951,60.163,24.945,24,23,0,17.8,3.29756,0
2020-08-01 09:26:00.000,-1,1,60.155,24.915,60.167,24.938,37,36,0,17.8,3.29756,0
2020-08-01 09:28:00.000,-16,1,60.187,24.955,60.198,24.93,38,22,0,17.8,3.29756,0
2020-08-01 09:34:00.000,-15,1,60.185,24.912,60.169,24.93,37,22,0,17.8,3.29756,0
2020-08-01 09:35:00.000,14,3,60.197,24.966,60.185,24.961,30,44,0,17.8,3.29756,0
2020-08-01 09:37:00.000,-8,1,60.17,24.927,60.17,24.945,37,29,0,17.8,3.29756,0
2020-08-01 09:41:00.000,-5,2,60.187,24.968,60.169,24.935,47,42,0,17.8,3.29756,0
2020-08-01 09:50:00.000,9,3,60.179,24.954,60.18,24.95,26,35,0,17.8,3.29756,0
2020-08-01 09:59:00.000,-10,4,60.174,24.957,60.169,24.929,37,27,0,17.8,3.29756,0
2020-08-01 10:01:00.000,-10,1,60.157,24.921,60.169,24.932,37,27,0,17.8,3.15193,0
2020-08-01 10:07:00.000,-7,1,60.162,24.935,60.168,24.935,29,22,0,17.8,3.15193,0
2020-08-01 10:09:00.000,8,5,60.164,24.951,60.164,24.944,28,36,0,17.8,3.15193,0
2020-08-01 10:13:00.000,11,4,60.168,24.957,60.165,24.948,30,41,0,17.8,3.15193,0
2020-08-01 10:14:00.000,-6,1,60.161,24.939,60.163,24.942,24,18,0,17.8,3.15193,0
2020-08-01 10:17:00.000,-2,2,60.195,24.945,60.194,24.956,24,22,0,17.8,3.15193,0
2020-08-01 10:18:00.000,5,3,60.158,24.935,60.169,24.935,34,39,0,17.8,3.15193,0
2020-08-01 10:21:00.000,-6,1,60.167,24.949,60.169,24.941,28,22,0,17.8,3.15193,0
2020-08-01 10:24:00.000,-3,4,60.175,24.928,60.166,24.929,30,27,0,17.8,3.15193,0
2020-08-01 10:25:00.000,13,4,60.187,24.915,60.192,24.952,40,53,0,17.8,3.15193,0
2020-08-01 10:28:00.000,-7,5,60.181,24.917,60.167,24.932,55,48,0,17.8,3.15193,0
2020-08-01 10:28:00.000,14,1,60.188,24.921,60.169,24.933,30,44,0,17.8,3.15193,0
2020-08-01 10:31:00.000,-8,1,60.173,24.924,60.169,24.929,25,17,0,17.8,3.15193,0
2020-08-01 10:33:00.000,16,1,60.16,24.945,60.169,24.945,28,44,0,17.8,3.15193,0
2020-08-01 10:36:00.000,-2,6,60.198,24.951,60.187,24.962,32,30,0,17.8,3.15193,0
2020-08-01 10:38:00.000,-1,5,60.194,24.943,60.178,24.949,28,27,0,17.8,3.15193,0
